Word,Frequency
little,139
said,81
came,49
peter,48
old,47
one,44
bear,44
went,43
mr,41
man,38
pig,38
upon,37
great,34
go,31
house,31
tom,31
jemima,31
three,29
garden,29
lucie,29
sat,28
mrs,28
wood,27
made,27
small,26
king,26
simpleton,25
could,25
back,25
brown,25
nutkin,25
home,24
would,24
away,23
got,23
riddle,22
took,22
way,22
mcgregor,22
mother,21
saw,21
benjamin,21
day,20
middle,20
ran,20
time,20
crow,19
looked,19
wee,19
door,19
quite,18
put,18
bed,18
wolf,18
say,18
gave,17
de,16
give,16
like,16
oh,16
hill,16
top,16
let,15
get,15
bears,15
voice,15
round,15
bells,15
rabbit,15
clothes,15
called,14
two,14
much,14
good,14
thought,14
come,14
huge,14
porridge,14
wall,14
onions,14
goose,13
long,13
along,13
chair,13
goldenlocks,13
johnny,13
met,12
last,12
water,12
running,12
behind,12
sitting,12
gentleman,12
squirrels,12
wife,11
well,11
fell,11
hand,11
fast,11
heard,11
